date,datetime,open,high,low,close,volume,trades
1/1/2018 19:00,1.51485E+12,754.99,899.5,749.06,855.28,113257.7836,142511
1/2/2018 19:00,1.51494E+12,855.13,950.01,810,934.03,89041.45688,118866
1/3/2018 19:00,1.51502E+12,934.03,1009.72,890.01,940,102894.4738,132633
1/4/2018 19:00,1.51511E+12,940,1045,930,959.3,97374.0163,124438
1/5/2018 19:00,1.5152E+12,958,1017.56,950,1004.11,71954.27895,91685
1/6/2018 19:00,1.51528E+12,1003.71,1125,999.9,1123.09,65278.81957,89192
1/7/2018 19:00,1.51537E+12,1123.09,1239.18,910,1133.18,158831.548,171664
1/8/2018 19:00,1.51546E+12,1133.18,1326.5,1104.85,1291,118702.8868,152628
1/9/2018 19:00,1.51554E+12,1291,1440,1201.1,1247,160185.0129,191352
1/10/2018 19:00,1.51563E+12,1249.03,1332.49,1021,1138.93,194546.2939,210914
1/11/2018 19:00,1.51572E+12,1136.45,1288.5,1069.01,1253.87,93763.47261,117851
1/12/2018 19:00,1.5158E+12,1253.87,1427.01,1252,1388.02,75893.43201,115872
1/13/2018 19:00,1.51589E+12,1388.1,1391.89,1220.89,1347,98391.19585,124920
1/14/2018 19:00,1.51597E+12,1347.99,1383.13,1258.12,1271,69236.70476,105410
1/15/2018 19:00,1.51606E+12,1268.67,1275.01,780,1000,343889.3651,304696
1/16/2018 19:00,1.51615E+12,999.99,1075.51,755,1000,436333.6733,391331
1/17/2018 19:00,1.51623E+12,1000,1075.2,924.21,994,294545.7121,278162
1/18/2018 19:00,1.51632E+12,993.3,1079,941,1032.5,167954.1125,171662
1/19/2018 19:00,1.51641E+12,1032.5,1165.4,1031,1152.75,123352.5836,139129
1/20/2018 19:00,1.51649E+12,1150.37,1152.69,998,1049,175031.0079,189013
1/21/2018 19:00,1.51658E+12,1049,1090.15,908,993,185212.52,200594
1/22/2018 19:00,1.51667E+12,993,1030,909,980,160159.6396,188114
1/23/2018 19:00,1.51675E+12,981.2,1074,953.09,1061,134257.7947,164024
1/24/2018 19:00,1.51684E+12,1060.34,1115,1030.26,1056.52,119415.935,140455
1/25/2018 19:00,1.51692E+12,1055.29,1082,986,1051.03,145113.638,168271
1/26/2018 19:00,1.51701E+12,1051.03,1127.99,1032.2,1118.99,96894.33839,130125
1/27/2018 19:00,1.5171E+12,1118.99,1277,1112,1251.96,143510.7359,191653
