date,datetime,open,high,low,close,volume,trades
1/1/2018 19:00,1.51485E+12,222.62,256.49,222.62,247.33,63293.12934,34824
1/2/2018 19:00,1.51494E+12,247.33,253.4,233.56,238.77,71369.27484,37685
1/3/2018 19:00,1.51502E+12,238.89,240,219.38,233,78182.30493,43209
1/4/2018 19:00,1.51511E+12,233.04,250.99,230,240.54,65010.14465,30382
1/5/2018 19:00,1.5152E+12,240.95,315,238.73,275.28,100812.2137,41513
1/6/2018 19:00,1.51528E+12,276.24,287,262,269.01,43811.61108,23777
1/7/2018 19:00,1.51537E+12,269.01,271.82,212.74,252.65,76256.97086,33866
1/8/2018 19:00,1.51546E+12,252.49,257.64,228.24,244.48,53921.90417,25770
1/9/2018 19:00,1.51554E+12,244.56,248.99,225.05,247.63,70931.30085,29781
1/10/2018 19:00,1.51563E+12,247.63,252.27,195.03,223.77,83842.47294,37597
1/11/2018 19:00,1.51572E+12,223.76,240.45,213.01,233.11,45676.80703,22683
1/12/2018 19:00,1.5158E+12,233.11,263.99,232.54,257.98,42811.12858,20564
1/13/2018 19:00,1.51589E+12,257.98,271.64,222,234.12,62203.40257,26501
1/14/2018 19:00,1.51597E+12,234.26,242.31,227.6,229.5,35755.94861,18021
1/15/2018 19:00,1.51606E+12,229.5,242,135.67,179.28,150044.0732,49964
1/16/2018 19:00,1.51615E+12,179.28,198.89,136.2,182.44,155640.0092,51587
1/17/2018 19:00,1.51623E+12,183.45,202.19,170.5,186.14,98372.75595,37258
1/18/2018 19:00,1.51632E+12,186.21,199,176.04,191.42,59369.45319,24967
1/19/2018 19:00,1.51641E+12,191.44,215,190.67,210.4,59162.64755,24687
1/20/2018 19:00,1.51649E+12,210.05,210.69,180,190.16,64817.00761,28336
1/21/2018 19:00,1.51658E+12,190.52,195,163.44,178,60376.3605,26955
1/22/2018 19:00,1.51667E+12,178,186.42,163.02,176.98,49510.38638,23619
1/23/2018 19:00,1.51675E+12,176.94,186.3,171.58,180.89,43298.498,21988
1/24/2018 19:00,1.51684E+12,180.83,186,175.58,179.59,39819.99079,16942
1/25/2018 19:00,1.51692E+12,179,183.06,165,177.09,49473.65655,19450
1/26/2018 19:00,1.51701E+12,175.73,184,173,182.1,31424.8731,14128
1/27/2018 19:00,1.5171E+12,182.11,198,181.7,196.74,47275.56346,20582
1/28/2018 19:00,1.51718E+12,196.74,197.19,180.01,181.5,36900.24385,18605
1/29/2018 19:00,1.51727E+12,181.51,181.96,160.59,168.21,56599.48048,30313
1/30/2018 19:00,1.51736E+12,168.1,169.31,157.5,165.19,37253.63137,22621
1/31/2018 19:00,1.51744E+12,164.83,167.2,132,143.69,64818.91744,32711
2/1/2018 19:00,1.51753E+12,144.04,147,108.52,131.68,124193.0359,55200
2/2/2018 19:00,1.51762E+12,131.99,166.99,120.06,160.3,143242.7098,55345
2/3/2018 19:00,1.5177E+12,160.86,174.75,138,147.09,300059.1927,101423
2/4/2018 19:00,1.51779E+12,147.29,153.96,116.6,125.17,299970.4207,91798
2/5/2018 19:00,1.51788E+12,125.17,147,106.5,141,393108.7479,117861
2/6/2018 19:00,1.51796E+12,140.96,157,130.01,137.21,178588.5705,63415
2/7/2018 19:00,1.51805E+12,137.97,143.5,137.2,142.37,3877.47235,1385
2/8/2018 19:00,1.51813E+12,142.37,164.4,142.37,163.73,65205.08736,27598
2/9/2018 19:00,1.51822E+12,163.74,169,146.01,154.65,133107.1619,57987
2/10/2018 19:00,1.51831E+12,154.62,156.1,139,148.28,90638.82249,51011
2/11/2018 19:00,1.51839E+12,148.28,163.75,146.04,161.49,92515.29686,49748
2/12/2018 19:00,1.51848E+12,161.55,162.95,152,159.63,76565.21628,40116
2/13/2018 19:00,1.51857E+12,159.45,218.6,158.94,212.25,734010.6511,274802
2/14/2018 19:00,1.51865E+12,212.25,236.66,206.5,220.64,676400.6946,285935
2/15/2018 19:00,1.51874E+12,220.64,235.58,208.56,228.08,408040.4512,183771
2/16/2018 19:00,1.51883E+12,228,232.2,222.78,228,190064.5513,88178
2/17/2018 19:00,1.51891E+12,228.08,231.39,210.1,213.66,302164.9059,134218
2/18/2018 19:00,1.519E+12,213.23,226.5,196,221.44,171716.1968,83172
2/19/2018 19:00,1.51908E+12,221.44,254.8,221,228.51,534334.8415,198469
2/20/2018 19:00,1.51917E+12,228.5,233.53,203.12,209.6,493443,174112
2/21/2018 19:00,1.51926E+12,209.6,222,188,192.61,396496.5489,152795
2/22/2018 19:00,1.51934E+12,192.69,216.28,182,206.4,427034.1542,168771
2/23/2018 19:00,1.51943E+12,206.38,219,192.3,206.5,326443.0926,118056
2/24/2018 19:00,1.51952E+12,206.69,223.17,198.94,217.78,314689.2619,98439
2/25/2018 19:00,1.5196E+12,218.16,232.3,214.43,218.5,408480.1248,130023
2/26/2018 19:00,1.51969E+12,218.25,224.36,211.8,214.6,248945.7873,80132
2/27/2018 19:00,1.51978E+12,214.94,223.71,201.5,201.86,185588.088,64499
2/28/2018 19:00,1.51986E+12,201.86,215,200.2,209.17,121521.2129,48132
3/1/2018 19:00,1.51995E+12,209.14,214.47,203.43,212.8,89853.18198,39878
3/2/2018 19:00,1.52004E+12,212.8,218.39,208,210.04,120120.9805,43220
3/3/2018 19:00,1.52012E+12,210,215.34,204.5,213.19,67079.9353,30477
3/4/2018 19:00,1.52021E+12,213.19,217,208.17,210.14,71680.40092,31661
3/5/2018 19:00,1.52029E+12,210.03,210.49,191.31,196.24,130006.5373,48522
3/6/2018 19:00,1.52038E+12,196.2,199.28,173.08,185.25,229372.2102,68175
3/7/2018 19:00,1.52047E+12,185.33,187.5,173.69,175.24,160132.5365,53926
3/8/2018 19:00,1.52055E+12,175.06,190,157.68,185.79,308773.9243,95879
3/9/2018 19:00,1.52064E+12,185.88,194.99,174.48,176.74,187043.8542,61707
3/10/2018 19:00,1.52073E+12,176.85,194,169.85,188.16,197705.6657,64755
3/11/2018 19:00,1.52081E+12,188.16,192.88,173.58,177.8,142835.1075,54266
3/12/2018 19:00,1.5209E+12,177.8,182.9,170.51,175.01,115964.9562,47319
3/13/2018 19:00,1.52099E+12,175.38,177.52,156.5,160.15,151320.1788,58616
3/14/2018 19:00,1.52107E+12,160,167.7,149.55,164,207428.0445,63297
3/15/2018 19:00,1.52116E+12,164,171.6,157.5,164.1,113818.4533,41920
3/16/2018 19:00,1.52124E+12,164.12,165.96,150.2,151.75,105128.932,38038
3/17/2018 19:00,1.52133E+12,151.7,158,136.86,153.5,241693.6976,80391
3/18/2018 19:00,1.52142E+12,153.59,163.88,150.66,161.2,171855.3201,63302
3/19/2018 19:00,1.5215E+12,161.18,174,155.41,168.24,125783.5649,47676
3/20/2018 19:00,1.52159E+12,168.5,175.88,165.22,168.54,110902.8125,45091
3/21/2018 19:00,1.52168E+12,168.43,172.64,159.51,163.65,100604.6274,37553
3/22/2018 19:00,1.52176E+12,163.65,169.5,156.13,168.66,80739.90111,31977
3/23/2018 19:00,1.52185E+12,168.97,169.74,157.73,158.92,73773.75243,29402
3/24/2018 19:00,1.52194E+12,158.81,162.89,156.75,160.01,46203.18669,21307
3/25/2018 19:00,1.52202E+12,160,161.06,141.56,147.83,99508.29226,40209
3/26/2018 19:00,1.52211E+12,147.71,149.34,134.4,135,103463.3891,35412
3/27/2018 19:00,1.5222E+12,135,139.75,130.1,131.22,83839.85944,27705
3/28/2018 19:00,1.52228E+12,131.31,132.6,112.51,114.7,187392.7699,53948
3/29/2018 19:00,1.52237E+12,114.55,126.45,109.77,118.35,252079.1424,69432
3/30/2018 19:00,1.52245E+12,118.1,124.28,115.26,116.05,128237.7884,37066
3/31/2018 19:00,1.52254E+12,116.05,118.38,109.03,114.74,113209.8841,35748
4/1/2018 19:00,1.52263E+12,114.97,121.71,113.54,119.05,91168.44423,27432
4/2/2018 19:00,1.52271E+12,119.03,137.25,118,134.04,139283.4273,41708
4/3/2018 19:00,1.5228E+12,133.82,134.77,115.2,118.07,168974.9795,51911
4/4/2018 19:00,1.52289E+12,118.01,122.5,113.63,118.26,125611.5983,39718
4/5/2018 19:00,1.52297E+12,118.41,120.15,111.31,112.79,83137.97172,25277
4/6/2018 19:00,1.52306E+12,112.7,119.72,112.19,115.8,73178.28817,23798
4/7/2018 19:00,1.52315E+12,115.8,118.49,115.34,117.55,42540.37579,16718
4/8/2018 19:00,1.52323E+12,117.8,122.99,112.48,114.79,98639.79044,30073
4/9/2018 19:00,1.52332E+12,114.62,115.26,111.25,114.25,54554.53212,17673
4/10/2018 19:00,1.5234E+12,114.25,119.59,112.92,118.4,62636.41007,19511
4/11/2018 19:00,1.52349E+12,118.4,130.9,112.92,129.67,232191.2283,65320
4/12/2018 19:00,1.52358E+12,129.62,133.98,123.55,125.1,187842.6214,50478
4/13/2018 19:00,1.52366E+12,125.28,129.71,124,126.4,77108.42942,138315
4/14/2018 19:00,1.52375E+12,126.4,132.99,126.4,132.45,61105.32594,18549
4/15/2018 19:00,1.52384E+12,132.45,133.49,124.88,128.96,86544.7505,21422
4/16/2018 19:00,1.52392E+12,128.76,140.5,128.73,132.09,165601.8802,42354
4/17/2018 19:00,1.52401E+12,132.1,141.43,131.5,140.36,100942.7885,26882
4/18/2018 19:00,1.5241E+12,140.36,147.48,138.51,146.71,97431.94319,28013
4/19/2018 19:00,1.52418E+12,146.5,156.49,142.62,155.71,139102.8337,40989
4/20/2018 19:00,1.52427E+12,155.5,156.94,139.8,148.4,150940.4375,45250
4/21/2018 19:00,1.52436E+12,148.38,153.14,144.26,146.38,84286.7952,27696
4/22/2018 19:00,1.52444E+12,146.38,153.67,145.8,152.56,73891.75771,22972
4/23/2018 19:00,1.52453E+12,152.57,166.29,152.44,164.78,172718.0681,45827
4/24/2018 19:00,1.52461E+12,164.23,164.79,141.85,144.75,192757.1952,55270
4/25/2018 19:00,1.5247E+12,144.74,154.84,142,153.19,98478.86456,26019
4/26/2018 19:00,1.52479E+12,153.19,153.8,144.44,144.9,95174.33853,27583
4/27/2018 19:00,1.52487E+12,145.66,153.74,144.49,152.1,80642.67696,26844
4/28/2018 19:00,1.52496E+12,151.89,156.87,148,153.5,93443.5302,30197
4/29/2018 19:00,1.52505E+12,153.51,154.9,147,148.37,92445.57179,27153
4/30/2018 19:00,1.52513E+12,148.36,148.89,142.44,148.29,88367.51511,25648
5/1/2018 19:00,1.52522E+12,148.28,153.76,146.21,151.58,76486.25106,23551
5/2/2018 19:00,1.52531E+12,151.58,165.04,150,161.38,190732.6775,52984
5/3/2018 19:00,1.52539E+12,161.17,172.1,157.1,169.44,175174.3413,39748
5/4/2018 19:00,1.52548E+12,169.2,184.67,168.13,179.04,226947.8176,56655
5/5/2018 19:00,1.52556E+12,178.86,184.98,164.8,172.32,198191.5738,48936
5/6/2018 19:00,1.52565E+12,172.1,172.81,157.3,164.59,170523.8358,41948
5/7/2018 19:00,1.52574E+12,164.52,168.66,155.05,158.89,113315.9363,28380
5/8/2018 19:00,1.52582E+12,159,160.32,150,156.72,96837.57036,26399
5/9/2018 19:00,1.52591E+12,156.75,160.9,147.22,148.16,87015.41914,24845
5/10/2018 19:00,1.526E+12,148.11,148.5,132.97,136.32,147425.6038,40640
5/11/2018 19:00,1.52608E+12,136.32,144.47,130.32,141.57,91975.31387,31887
5/12/2018 19:00,1.52617E+12,141.43,146.89,136.1,144.24,89476.86723,26102
5/13/2018 19:00,1.52626E+12,144.19,152.95,134.19,147.42,171489.171,47336
5/14/2018 19:00,1.52634E+12,147.1,149.67,136.91,139.35,105112.9027,33164
5/15/2018 19:00,1.52643E+12,139.34,140.86,133.5,138.92,70852.18798,24269
5/16/2018 19:00,1.52652E+12,138.91,141.5,131,132.31,58209.5848,19831
5/17/2018 19:00,1.5266E+12,132.07,137.49,128,135.95,66556.79304,20413
5/18/2018 19:00,1.52669E+12,135.95,137.77,132.6,134.95,37830.56861,14468
5/19/2018 19:00,1.52677E+12,134.89,141,132.5,139.64,47003.82267,17436
5/20/2018 19:00,1.52686E+12,139.63,140.25,133.43,134.25,43516.2189,15840
5/21/2018 19:00,1.52695E+12,134.25,136.25,127.31,127.89,41745.53907,17588
5/22/2018 19:00,1.52703E+12,127.9,129.35,115.83,118.37,107080.5148,30022
5/23/2018 19:00,1.52712E+12,118.29,124.85,114.7,122.58,79220.48706,24953
5/24/2018 19:00,1.52721E+12,122.65,124.58,116.63,118.87,98242.40331,24159
5/25/2018 19:00,1.52729E+12,118.78,122.46,117.18,118.45,121594.2696,23328
5/26/2018 19:00,1.52738E+12,118.35,119,116.58,117.71,119072.1558,21705
5/27/2018 19:00,1.52747E+12,117.72,118.97,110,110.82,75142.06687,21684
5/28/2018 19:00,1.52755E+12,110.66,122.71,109.41,119.28,70835.89135,19151
5/29/2018 19:00,1.52764E+12,119.52,122.73,114.69,117.18,47541.06432,15293
5/30/2018 19:00,1.52772E+12,117.18,121.01,116.04,118.25,55831.28616,15845
5/31/2018 19:00,1.52781E+12,118.25,120.4,116.62,120.19,51605.41534,12473
6/1/2018 19:00,1.5279E+12,120.19,124.5,118.66,123.44,45059.33298,14573
6/2/2018 19:00,1.52798E+12,123.44,127.98,122.23,125.33,52884.48398,18072
6/3/2018 19:00,1.52807E+12,125.07,127.01,118,119.77,59686.2455,16492
6/4/2018 19:00,1.52816E+12,119.77,122.6,115.77,122.18,48879.6275,16679
6/5/2018 19:00,1.52824E+12,122.2,122.94,118,121.61,36817.66091,13302
6/6/2018 19:00,1.52833E+12,121.63,123.84,119.4,121.54,39573.29608,15223
6/7/2018 19:00,1.52842E+12,121.56,122.18,118.04,119.68,28982.19754,10223
6/8/2018 19:00,1.5285E+12,119.9,120.93,116.7,117.4,17060.66336,8081
6/9/2018 19:00,1.52859E+12,117.25,117.47,102.75,106.48,88683.19352,26149
6/10/2018 19:00,1.52868E+12,106.5,108.42,102.7,107.2,56836.22735,18424
6/11/2018 19:00,1.52876E+12,107.2,107.86,94.05,99.68,73444.59887,20716
6/12/2018 19:00,1.52885E+12,99.68,100.45,86.71,93.37,168148.0569,34592
6/13/2018 19:00,1.52893E+12,93.4,102.87,91.65,100.88,177889.8581,36543
6/14/2018 19:00,1.52902E+12,100.89,100.98,94.49,95.5,155895.2462,29482
6/15/2018 19:00,1.52911E+12,95.5,97.58,92.68,96.66,130013.9953,25038
6/16/2018 19:00,1.52919E+12,96.65,98.2,94.51,94.95,119733.0926,24087
6/17/2018 19:00,1.52928E+12,94.95,99.88,92.89,98.7,161804.4625,31156
6/18/2018 19:00,1.52937E+12,98.79,120,96.91,98.67,130065.5113,28856
6/19/2018 19:00,1.52945E+12,98.67,99.13,95.21,97.72,141985.6417,28109
6/20/2018 19:00,1.52954E+12,97.72,99.3,96,96.72,137564.825,27061
6/21/2018 19:00,1.52963E+12,96.74,96.87,80.02,84.8,232108.914,49836
6/22/2018 19:00,1.52971E+12,84.75,86.77,81.31,82.73,165849.7556,33337
6/23/2018 19:00,1.5298E+12,82.76,83.63,73.22,80.37,250304.8192,51231
6/24/2018 19:00,1.52988E+12,80.46,84.38,78.55,81.48,164736.3733,34791
6/25/2018 19:00,1.52997E+12,81.48,81.99,75,75.54,118123.1803,20213
6/26/2018 19:00,1.53006E+12,75.63,81.75,74.87,80.6,139175.3341,25034
6/27/2018 19:00,1.53014E+12,80.71,81.43,73.89,74.05,179829.0657,29603
6/28/2018 19:00,1.53023E+12,74.24,80.79,72.15,78.94,182184.8645,31677
